Algorithm,FNMR.F.AmIndian,FMR.F.AmIndian,FNMR.F.Asian,FMR.F.Asian,FNMR.F.Black,FMR.F.Black,FNMR.F.White,FMR.F.White,FNMR.M.AmIndian,FMR.M.AmIndian,FNMR.M.Asian,FMR.M.Asian,FNMR.M.Black,FMR.M.Black,FNMR.M.White,FMR.M.White
idemia-004,0.0549,0.000630957344480193,0.0354,5.01187233627273e-05,0.0112,0.000125892541179417,0.0236,1e-05,0.0341,6.30957344480193e-05,0.0142,1.58489319246111e-05,0.0058,1e-05,0.0154,1e-05
idemia-005,0.0371,0.000501187233627273,0.022,6.30957344480193e-05,0.0068,0.000199526231496888,0.0123,1.25892541179417e-05,0.0229,7.94328234724282e-05,0.0075,1e-05,0.0031,1.58489319246111e-05,0.0089,1e-05
iit-000,0.0979,0.000316227766016838,0.0715,0.000251188643150958,0.052,1.99526231496888e-05,0.0898,1.99526231496888e-05,0.0681,1e-04,0.0378,7.94328234724282e-05,0.0271,1e-05,0.06,1e-05
iit-001,0.0288,0.000630957344480193,0.0276,5.01187233627273e-05,0.0075,7.94328234724282e-05,0.0139,1e-05,0.0212,0.000125892541179417,0.0158,1e-05,0.0045,1e-05,0.0106,1e-05
imagus-000,0.0778,0.000501187233627273,0.048,6.30957344480193e-05,0.0304,1e-04,0.0519,1e-05,0.0516,0.000158489319246111,0.0282,1.58489319246111e-05,0.02,1e-05,0.0363,1e-05
imperial-000,0.021,0.000501187233627273,0.0166,2.51188643150958e-05,0.0043,6.30957344480193e-05,0.0091,1e-05,0.0148,0.000199526231496888,0.0063,1.25892541179417e-05,0.0023,1.99526231496888e-05,0.0071,1e-05
incode-003,0.0507,0.000501187233627273,0.0321,1.58489319246111e-05,0.0176,0.000199526231496888,0.043,1.25892541179417e-05,0.0335,7.94328234724282e-05,0.0175,1e-05,0.01,1e-05,0.0264,1e-05
incode-004,0.0234,0.000630957344480193,0.0179,2.51188643150958e-05,0.0062,6.30957344480193e-05,0.013,1e-05,0.0173,0.000125892541179417,0.0091,1e-05,0.0041,1e-05,0.0105,1e-05
innovatrics-004,0.0663,0.000501187233627273,0.0429,7.94328234724282e-05,0.0189,1e-04,0.0362,1e-05,0.0404,1e-04,0.0186,1.99526231496888e-05,0.0108,1e-05,0.0236,1e-05
innovatrics-006,0.0188,0.000501187233627273,0.0154,6.30957344480193e-05,0.0045,5.01187233627273e-05,0.0097,1e-05,0.0118,0.000158489319246111,0.0064,1e-05,0.0026,1e-05,0.0073,1e-05
